사업장명,좌표정보(X),좌표정보(Y)
명월식당,211438.2244,448935.9821
할머니사철탕,211784.3352,448940.0153
풍년비빔국수,211082.0039,448320.9929
함경면옥,211439.9132,446827.0011
마포돼지농장,211098.8501,448212.154
굽은다리 할매순대국,212469.1619,449220.5132
지중해왕돈까스,212131.7354,447539.7952
소문난곱창집,211881.2416,447274.3606
이경태누렁소국밥집,212333.7862,448353.6811
전주해장국,213845.4012,450945.4628
천호통큰아구나라,212469.1619,449220.5132
금호식당,211542.3141,448273.1141
개삼터 오리전문점,212671.8803,448968.1411
시골밥상,210907.0924,447587.8064
안녕식당,211067.8499,448212.9341
소문난순대곱창,211358.715,450019.1573
화진포막국수,210936.1294,447363.9258
예우랑 강동구청점,210879.2516,447675.7397
단골숯불갈비,212351.6196,448364.4338
군산아구,212522.6773,450034.0112
대관령 두부마을,210938.9015,447264.3436
명일오리,212667.5078,449611.763
대방양곱창구이,212603.1056,447931.568
홍콩,211592.6434,448047.6942
장원아구찜,213640.2783,450219.03
족발야시장,212117.2069,448171.4004
정자네식당,211063.678,449584.4134
강동숯불,213115.7925,447734.4813
둥지호프,212230.0696,448802.2312
두리돈까스,213493.9072,450038.8473
시골포장마차,211067.8499,448212.9341
(주)씨네플랜,210992.4973,447372.6172
마루,212432.427,449421.9822
송가네,213677.7122,450222.7291
캘리포니아,211216.6195,448559.2985
케이컴퍼니,212084.4814,448919.186
라화쿵부 길동점,212296.2894,448316.9644
통도야지,211594.7542,449137.8804
엄마손식당,212286.2385,448434.3053
비비큐고덕점,213439.0232,450784.7763
또래오래,214255.2204,450941.8793
미니집,211083.4501,448373.9333
1950's,211146.0685,448479.4446
아지트 7080,212105.9783,448486.5638
짝태&노가리,211986.9149,448201.8416
부부만두양념삼겹,213549.3674,450917.3774
김가네김밥,213676.3191,450194.8557
페리카나,211383.2257,448923.3604
에스앤푸드(SN FOOD),210800.0633,447341.1039
프라자출장부페,213032.6175,448138.11
방울이팥칼국수,211705.0745,448906.9131
수,212103.6101,447564.0273
육회명가,212360.4092,448413.7287
송원,215185.6282,449802.48
