name,lat,lon
순대국집,37.5367316,127.126441
별난포차,37.5298172,127.138014
탕화쿵푸 마라탕 천호점,37.5390471,127.126479
초장집 천호점,37.5390470,127.126603
털보네분식,37.5482137,127.147033
하림맥시칸 천호점,37.5476443,127.141034
다미가,37.5407794,127.140501
서강추어탕,37.5402768,127.122385
쏘닭,37.5510292,127.143395
푸라닭 고덕점,37.5607628,127.162246
벨치킨,37.5456637,127.123355
평양만두집,37.5300418,127.122063
함안조고집,37.5429106,127.143979
하림맥시칸강동점,37.5553504,127.130852
노랑통닭 길동점,37.5351330,127.138024
마루호프,37.5404764,127.145208
박대박조개찜,37.5392348,127.127916
더킹하우스,37.5327718,127.138608
할머니 추어탕,37.5490227,127.155635
청해진,37.5248824,127.127473
별미천국,37.5273341,127.134842
미스터피자명일점,37.5503977,127.144118
백화원,37.5323477,127.139083
동보성,37.5564875,127.152040
놀부식당,37.5372057,127.137700
윤가네대박갈비,37.5464790,127.170884
램스토랑,37.5360106,127.126677
완도세꼬시,37.5379065,127.139432
장수촌 풍천장어,37.5532892,127.128947
다경,37.5403043,127.138430
메밀촌,37.5270566,127.133201
어전,37.5282740,127.123848
마시께,37.5397609,127.124579
남원명가추어탕,37.5476599,127.143060
선사찌개마을,37.5549655,127.128520
연탄아저씨,37.5464982,127.142594
여주순대국감자탕,37.5300988,127.135967
혜성종합분식,37.5335681,127.127431
유경생고기식당,37.5424571,127.130932
큰마루,37.5525555,127.154952
누구나홀딱반한닭 명일점,37.5504240,127.144672
라운펍,37.5389386,127.126897
생활맥주,37.5283918,127.123237
교촌치킨 성내점,37.5313331,127.127914
투다리,37.5486202,127.130648
전주전가,37.5464982,127.142594
시골집,37.5397056,127.125756
청해수사,37.5302586,127.121498
나주식당,37.5609264,127.154415
육촌식당,37.5339004,127.144211
조가네숯불삼겹살,37.5368960,127.140562
사계절 선술집,37.5339049,127.132580
찜당한해물,37.5311504,127.121646
도니족발 강동점,37.5532892,127.128947
최가네 참숯생고기,37.5582566,127.169767
올인,37.5384306,127.138087
함박눈이내릴때,37.5419496,127.125273
마포소금구이,37.5384003,127.140893
빈궁,37.5577467,127.146610
짱구식당,37.5325751,127.129183
천호양푼탕,37.5394240,127.127973
(암사골)엄나무닭옻닭 본가,37.5558743,127.137711
우리콩손두부,37.5355664,127.137278
노가리&꼬치,37.5249292,127.134182
그랑카페,37.5552446,127.128735
자매식당,37.5305780,127.142258
우정식당,37.5582827,127.170367
동북양꼬치,37.5249292,127.134182
봉추찜닭 천호로데오점,37.5388572,127.127157
