주소,위도,경도
서울특별시 강동구 동남로71길 14,37.5517534,127.1543327
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 상일로 41,37.553051,127.1723493
서울특별시 강동구 천중로43길 72,37.5434199,127.1413807
서울특별시 강동구 상일로 152,37.553051,127.1723493
서울특별시 강동구 암사길 37,37.552223,127.1375409
서울특별시 강동구 명일로 197,37.55213,127.14981
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 아리수로93길 33-9,37.5678404,127.1737057
서울특별시 강동구 양재대로 1603,37.5312359,127.138644
서울특별시 강동구 동남로71길 14,37.5517534,127.1543327
서울특별시 강동구 성내로9길 39,37.530617,127.1250699
서울특별시 강동구 고덕로27길 28,37.5558389,127.1380381
서울특별시 강동구 구천면로100길 18,37.5495082,127.1717683
서울특별시 강동구 양재대로96길 79,37.5291727,127.1396958
서울특별시 강동구 천중로 155,37.5454113,127.1309432
서울특별시 강동구 양재대로138길 32,37.5495645,127.1458456
서울특별시 강동구 상암로51길 61,37.5483808,127.1462538
서울특별시 강동구 동남로75길 13-25,37.553735,127.1557531
서울특별시 강동구 풍성로 135,37.5318631,127.1274564
서울특별시 강동구 상암로 11,37.54750065,127.1586603
서울특별시 강동구 명일로 229,37.5392251,127.1462154
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 구천면로 303,37.5502967,127.140397
서울특별시 강동구 고덕로 140,37.5543004,127.1430187
서울특별시 강동구 구천면로 428,37.5502967,127.140397
서울특별시 강동구 명일로 199-5,37.55213,127.14981
서울특별시 강동구 풍성로 162,37.5318631,127.1274564
서울특별시 강동구 암사길 49,37.552223,127.1375409
서울특별시 강동구 풍성로 135,37.5318631,127.1274564
서울특별시 강동구 성안로 201,37.53206,127.13276
서울특별시 강동구 양재대로 1311,37.5312359,127.138644
서울특별시 강동구 구천면로 429-11,37.5502967,127.140397
서울특별시 강동구 양재대로96길 79,37.5291727,127.1396958
서울특별시 강동구 상암로63길 26,37.5477013,127.1540315
서울특별시 강동구 양재대로121길 32,37.5427677,127.1395733
서울특별시 강동구 고덕로 108-5,37.5543004,127.1430187
서울특별시 강동구 고덕로 101,37.5543004,127.1430187
서울특별시 강동구 고덕로 140,37.5543004,127.1430187
서울특별시 강동구 구천면로 269-1,37.5502967,127.140397
서울특별시 강동구 풍성로38길 9,37.530272,127.1243638
서울특별시 강동구 양재대로89가길 69,37.5244081,127.1341549
서울특별시 강동구 풍성로65길 39,37.5302289,127.1417696
서울특별시 강동구 아리수로93길 33-9,37.5678404,127.1737057
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 구천면로 456,37.5502967,127.140397
서울특별시 강동구 상암로 11,37.54750065,127.1586603
서울특별시 강동구 구천면로 278,37.5502967,127.140397
서울특별시 강동구 동남로71길 32,37.55232055,127.1541935
서울특별시 강동구 풍성로37길 39,37.5335382,127.1270236
서울특별시 강동구 양재대로 1313,37.5312359,127.138644
서울특별시 강동구 동남로81길 96,37.5596187,127.1530782
서울특별시 강동구 양재대로 1313,37.5312359,127.138644
서울특별시 강동구 동남로75길 13-21,37.553735,127.1557531
서울특별시 강동구 동남로75길 29,37.553735,127.1557531
서울특별시 강동구 동남로67길 37,37.5487787,127.1540974
서울특별시 강동구 동남로65길 54,37.5482834,127.1534894
서울특별시 강동구 양재대로 1708,37.5312359,127.138644
서울특별시 강동구 양재대로 1307,37.5312359,127.138644
서울특별시 강동구 동남로71길 32,37.55232055,127.1541935
서울특별시 강동구 풍성로54길 56,37.5283791,127.1335173
서울특별시 강동구 양재대로138길 32,37.5495645,127.1458456
서울특별시 강동구 고덕로27길 28,37.5558389,127.1380381
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 상암로63길 48,37.5477013,127.1540315
서울특별시 강동구 성안로 170,37.53206,127.13276
서울특별시 강동구 양재대로 1377,37.5312359,127.138644
서울특별시 강동구 풍성로37길 36,37.5334821,127.126382
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 양재대로 1349,37.5312359,127.138644
서울특별시 강동구 동남로81길 58,37.5596187,127.1530782
서울특별시 강동구 명일로 263,37.55213,127.14981
서울특별시 강동구 고덕로 256,37.5543004,127.1430187
서울특별시 강동구 동남로73길 26,37.5528802,127.1552384
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 아리수로93길 9,37.5649416,127.1739152
서울특별시 강동구 아리수로93길 9,37.5649416,127.1739152
서울특별시 강동구 고덕로 256,37.5543004,127.1430187
서울특별시 강동구 동남로71길 32,37.55232055,127.1541935
서울특별시 강동구 올림픽로91길 41-3,37.5483773,127.1246525
서울특별시 강동구 성내로6가길 89,37.5269122,127.1242873
서울특별시 강동구 양재대로 1313,37.5312359,127.138644
서울특별시 강동구 동남로71길 20-9,37.5517534,127.1543327
서울특별시 강동구 동남로75길 13-15,37.553735,127.1557531
서울특별시 강동구 아리수로98길 25,37.5648382,127.1781455
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 풍성로 245,37.5318631,127.1274564
서울특별시 강동구 구천면로 278,37.5502967,127.140397
서울특별시 강동구 구천면로 424,37.5499148,127.1459899
서울특별시 강동구 양재대로128길 42,37.5444639,127.145278
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 동남로67길 44,37.5487787,127.1540974
서울특별시 강동구 양재대로 1371,37.5312359,127.138644
서울특별시 강동구 아리수로 427,37.55978,127.14537
서울특별시 강동구 동남로73길 26,37.5528802,127.1552384
서울특별시 강동구 동남로67길 49,37.5487787,127.1540974
서울특별시 강동구 양재대로 1367,37.5312359,127.138644
서울특별시 강동구 동남로75길 13-21,37.553735,127.1557531
서울특별시 강동구 천중로17길 45,37.5469869,127.1307324
서울특별시 강동구 상일로12길 99,37.5537796,127.1725251
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 천중로17길 45,37.5469869,127.1307324
서울특별시 강동구 성안로 14,37.53206,127.13276
서울특별시 강동구 상암로61길 50,37.54777,127.15257
서울특별시 강동구 양재대로 1618,37.5312359,127.138644
서울특별시 강동구 천중로35길 67,37.5424682,127.1377329
서울특별시 강동구 동남로65길 46,37.5482834,127.1534894
서울특별시 강동구 양재대로 1666,37.5312359,127.138644
서울특별시 강동구 구천면로 656,37.5502967,127.140397
서울특별시 강동구 성안로 183,37.53206,127.13276
서울특별시 강동구 명일로 176,37.55213,127.14981
서울특별시 강동구 명일로 176,37.55213,127.14981
서울특별시 강동구 명일로 176,37.55213,127.14981
서울특별시 강동구 상암로 214,37.5480751,127.1300518
서울특별시 강동구 강동대로53길 77,37.525568,127.1317124
서울특별시 강동구 양재대로85길 86,37.5248662,127.1322197
서울특별시 강동구 양재대로96길 8,37.5291727,127.1396958
서울특별시 강동구 동남로71길 32,37.55232055,127.1541935
서울특별시 강동구 풍성로 130,37.5318631,127.1274564
서울특별시 강동구 풍성로61길 36,37.5300177,127.1387754
서울특별시 강동구 상암로 11,37.54750065,127.1586603
서울특별시 강동구 천호대로187길 49,37.5378721,127.1421032
서울특별시 강동구 동남로71길 24,37.5517534,127.1543327
서울특별시 강동구 구천면로 310-9,37.5502967,127.140397
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 동남로71길 32,37.55232055,127.1541935
서울특별시 강동구 풍성로37길 23,37.5334821,127.126382
서울특별시 강동구 아리수로93길 40,37.5678404,127.1737057
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 양재대로 1335,37.5312359,127.138644
서울특별시 강동구 구천면로17길 31,37.5429329,127.1236683
서울특별시 강동구 상암로 11,37.54750065,127.1586603
서울특별시 강동구 상암로 209,37.5480751,127.1300518
서울특별시 강동구 상암로61길 42,37.54777,127.15257
서울특별시 강동구 양재대로81길 39,37.523526,127.1317008
서울특별시 강동구 동남로81길 76,37.5596187,127.1530782
서울특별시 강동구 성내로9길 35,37.530617,127.1250699
서울특별시 강동구 성안로 201,37.53206,127.13276
서울특별시 강동구 양재대로87길 51,37.525568,127.1317124
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 동남로75길 13-7,37.553735,127.1557531
서울특별시 강동구 고덕로46길 71,37.55143025,127.146269
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 양재대로 1638,37.5312359,127.138644
서울특별시 강동구 동남로81길 88,37.5596187,127.1530782
서울특별시 강동구 동남로81길 88,37.5596187,127.1530782
서울특별시 강동구 구천면로 293,37.5502967,127.140397
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 명일로 261,37.55213,127.14981
서울특별시 강동구 천중로15가길 1,37.5465908,127.1290027
서울특별시 강동구 양재대로91길 71,37.5283791,127.1335173
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
