,주소,lat,lon
255,서울특별시 양천구 목동동로 293,37.5348099,126.8783553
256,서울특별시 양천구 목동서로 161,37.5289111,126.873831
257,서울특별시 양천구 목동서로 201,37.5237107,126.8698661
258,서울특별시 양천구 등촌로 142,37.540304,126.8639268
259,서울특별시 양천구 신정로7길 17,37.5140466,126.8342703
260,서울특별시 양천구 목동동로 233-1,37.5348099,126.8783553
261,서울특별시 양천구 목동동로 411,37.5348099,126.8783553
262,서울특별시 성동구 행당동 192-3,37.5483888,127.0454142
263,서울특별시 성동구 왕십리광장로 17,37.5612222,127.0371358
264,서울특별시 성동구 아차산로 100,37.5445688,127.0561016
265,서울특별시 서대문구 연희로 248,37.579182,126.9367984
266,서울특별시 서대문구 연희로 182,37.5913488,126.9398535
267,서울특별시 서대문구 서소문로 51,37.5612046,126.9666326
268,서울특별시 서대문구 성산로 20길,37.5608404,126.9321074
269,서울특별시 서대문구 통일로 113,37.5712376,126.9585821
270,서울특별시 서대문구 통일로 97,37.563523,126.967443
271,서울특별시 서대문구 충정로 36,37.5650333,126.9659101
272,서울특별시 서대문구 충정로 60,37.5650333,126.9659101
273,서울특별시 서대문구 연세로 50-1,37.5622584,126.9405703
274,서울특별시 서대문구 경기대로 44,37.5633208,126.9625692
275,서울특별시 서대문구 통일로 37길,37.5859922,126.9438949
276,서울특별시 서대문구 가좌로 134,37.5807647,126.928288
277,서울특별시 서대문구 거북골로 34,37.5803622,126.9235338
278,서울특별시 서대문구 신촌로 197,37.55717085,126.9478349
279,서울특별시 서대문구 응암로 121,37.5846088,126.9158729
280,서울특별시 서대문구 성산로 321,37.5666295,126.9246236
281,서울특별시 서대문구 성산로 263,37.5666295,126.9246236
282,서울특별시 서대문구 수색로 56,37.5733702,126.9115745
283,서울특별시 서대문구 경기대로 47,37.5633208,126.9625692
284,서울특별시 서대문구 경기대로 9,37.5633208,126.9625692
285,서울특별시 서대문구 충정로 29,37.5650333,126.9659101
286,서울특별시 서대문구 통일로 135,37.5712376,126.9585821
287,서울특별시 서대문구 충정로 70,37.5650333,126.9659101
288,서울특별시 서대문구 충정로 50,37.5650333,126.9659101
289,서울특별시 서대문구 서소문로 21,37.5625568,126.9666111
290,서울특별시 서대문구 충정로 8,37.5650333,126.9659101
291,서울특별시 서대문구 서소문로 45,37.5612046,126.9666326
292,서울특별시 서대문구 연희로 142,37.5913488,126.9398535
293,서울특별시 서대문구 신촌로 73,37.5579158,126.9603834
294,서울특별시 서대문구 연희로 407,37.5913488,126.9398535
295,서울특별시 서대문구 신촌로 231,37.5579158,126.9603834
296,서울특별시 서대문구 신촌로 183,37.5579158,126.9603834
297,서울특별시 서대문구 신촌로 113,37.5579158,126.9603834
298,서울특별시 서대문구 충정로 23,37.5650333,126.9659101
299,서울특별시 서대문구 연세로 13,37.5593255,126.9369117
300,서울특별시 서대문구 신촌로 83,37.5579158,126.9603834
